STT,Ten_xe,Nam_dang_ky,Loai_bao_hiem,Loai_nhien_lieu,So_cho_ngoi,Quang_duong_da_di(km),Quyen_so_huu,Hop_so,Nam_san_xuat,Muc_tieu_hao(km/l),Dung_tich(cc),Cong_suat_toi_da,Mo_men_xoan,Gia_theo_lakh,Dia_diem,Gia_moi_lakh
1,2017 Mercedes-Benz S-Class S400,Jul-17,Comprehensive,Petrol,5.0,56000,First Owner,Automatic,2017,7.81,2996.0,2996.0,333.0,63.75,,
2,2020 Nissan Magnite Turbo CVT XV Premium Opt BSVI,Jan-21,Comprehensive,Petrol,5.0,30615,First Owner,Automatic,2020,17.4,999.0,999.0,9863.0,8.99,,
3,2018 BMW X1 sDrive 20d xLine,Sep-18,Comprehensive,Diesel,5.0,24000,First Owner,Automatic,2018,20.68,1995.0,1995.0,188.0,23.75,,
4,2019 Kia Seltos GTX Plus,Dec-19,Comprehensive,Petrol,5.0,18378,First Owner,Manual,2019,16.5,1353.0,1353.0,13808.0,13.56,,
5,2019 Skoda Superb LK 1.8 TSI AT,Aug-19,Comprehensive,Petrol,5.0,44900,First Owner,Automatic,2019,14.67,1798.0,1798.0,17746.0,24.0,,
6,2017 Honda Jazz 1.2 S i VTEC,Jul-17,Third Party insurance,Petrol,5.0,42000,First Owner,Manual,2017,18.7,1199.0,1199.0,887.0,5.45,,
7,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Feb-19,Comprehensive,Petrol,5.0,36739,First Owner,Manual,2018,18.9,1197.0,1197.0,8186.0,5.12,,
8,2018 Hyundai Creta 1.6 SX,Jul-18,Comprehensive,Petrol,5.0,76000,First Owner,Manual,2018,15.8,1591.0,1591.0,1213.0,9.3,,
9,2015 Mercedes-Benz S-Class S 350 CDI,Apr-15,Comprehensive,Diesel,5.0,68000,Second Owner,Automatic,2015,13.5,2987.0,2987.0,25479.0,42.0,,
10,2019 Tata Nexon 1.2 Revotron XZ Plus,Mar-19,Comprehensive,Petrol,5.0,28783,First Owner,Manual,2019,17.0,1198.0,1198.0,1085.0,8.02,,
11,2020 Honda City VX CVT,Mar-20,Comprehensive,Petrol,5.0,40000,First Owner,Automatic,2020,17.4,1497.0,1497.0,1176.0,10.95,,
12,2021 Renault Duster RXS,Feb-22,Comprehensive,Petrol,5.0,17382,First Owner,Manual,2021,16.42,1498.0,1498.0,10455.0,8.99,,
13,2014 BMW 3 Series 320d Prestige,2014,Third Party insurance,Diesel,5.0,120000,First Owner,Automatic,2014,18.88,1995.0,1995.0,184.0,7.45,,
14,2021 Hyundai Venue SX Plus Turbo DCT,Jan-22,Comprehensive,Petrol,5.0,17000,First Owner,Automatic,2021,18.15,998.0,998.0,11835.0,10.95,,
15,2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Apr-19,Comprehensive,Petrol,5.0,26867,First Owner,Manual,2019,18.9,1197.0,1197.0,8186.0,5.78,,
16,2022 Hyundai i20 Asta Opt,Aug-22,Third Party insurance,Petrol,5.0,30000,First Owner,Manual,2022,21.0,1197.0,1197.0,8180.0,8.95,,
17,2014 BMW 3 Series 320d Luxury Line,2014,Third Party insurance,Diesel,5.0,150000,First Owner,Automatic,2014,18.88,1995.0,1995.0,184.0,8.5,,
18,2018 BMW 3 Series 320d Luxury Line,Mar-18,Comprehensive,Diesel,5.0,53000,First Owner,Automatic,2018,22.69,1995.0,1995.0,190.0,23.5,,
19,2019 Ford Ecosport 1.5 Petrol Titanium Plus BSIV,Nov-19,Comprehensive,Petrol,5.0,40000,First Owner,Manual,2019,17.0,1497.0,1497.0,12136.0,7.95,,
20,2020 Jeep Compass 1.4 Limited Plus,Nov-20,Comprehensive,Petrol,5.0,48000,First Owner,Automatic,2020,14.1,1368.0,1368.0,16077.0,18.95,,
21,2021 MG Gloster Savvy 6-Str,Sep-21,Comprehensive,Diesel,6.0,35000,First Owner,Automatic,2021,12.4,1996.0,1996.0,21501.0,35.0,,
22,2010 Maruti Swift 1.2 VXi BSII,Oct-10,Comprehensive,Petrol,5.0,100525,First Owner,Manual,2010,16.1,1197.0,1197.0,85.0,2.09,,
23,2015 Honda City i VTEC CVT VX,Sep-15,Third Party insurance,Petrol,5.0,83000,Second Owner,Automatic,2015,18.0,1497.0,1497.0,1173.0,6.25,,
24,2011 Maruti Wagon R LXI BSIII,Aug-11,Comprehensive,Petrol,5.0,40191,Second Owner,Manual,2011,998.0,671.0,671.0,90.0,2.12,,
